Category,Label,Originated_By,Source,Text
politics war economy health etc ,1,hillary clinton,poltifact,say donald trump tax plan give wealthy corporation bush tax cut least factor two
indian news,1,the hindu,the hindu,tnsec announces indirect election urban local body polling various post held march 30 31
indian news,1,the hindu,the hindu,t team visit maharashtra study crop pattern hyderabad
politics war economy health etc ,0,ted cruz,poltifact,know obamacare cost nearly twice much initially expect trillion
politics war economy health etc ,0,sameh shoukry,poltifact,past 20 year egypt make great stride political democratic reform
politics war economy health etc ,0,breitbart,poltifact,fall river massachusetts built immigrant
covid19 news,1,bbc,bbc,keep covid test free firm urge welsh minister business body say free rapid test stay phase throughout year
politics war economy health etc ,0,bernie sanders,poltifact,say campaign release past tax return
indian news,1,the hindu,the hindu,andhra pradesh house house survey take check health condition villager west godavari doctor paramedical staff monitoring situation round clock suspect hooch death
politics war economy health etc ,0,suzanne bonamici,poltifact,say nearly 30 000 federal employee oregon furlough government shutdown
politics war economy health etc ,1,florida democratic party,poltifact,bill mccollum also vote numerous amendment weaken legislation even voting make train less accessible wheelchair
asian news,1,bbc,bbc,indian tea start ups search exotic edge indian tea start ups rediscover indigenous ingredient tea infusion stay ahead
politics war economy health etc ,1,bill o reilly,poltifact,go letterman rating go
politics war economy health etc ,1,randolph bracy,poltifact,african american grossly overrepresented florida death row
politics war economy health etc ,1,james langevin,poltifact,passing federal firearm background check nics database typically take 90 second
politics war economy health etc ,1,donald trump,poltifact,one third county think one third one insurer left affordable care act exchange
indian news,1,the hindu,the hindu,first time since aug 2019 33 company uae saudi arabia hong kong converge kashmir investment summit effort turn 000 cr mous sign earlier year reality
politics war economy health etc ,0,students  parents and teachers supporting marshall tuck,poltifact,say tony thurmond sue aclu leave student unsafe condition
politics war economy health etc ,0,jennifer shilling,poltifact,say many local government wisconsin already require employee pay 20 percent 30 percent even 40 percent health insurance premium
politics war economy health etc ,0,mark o mara,poltifact,literally time child 18 year age kill 100 000 people video game online thing
politics war economy health etc ,1,veronica escobar,poltifact,saw increase unaccompanied minor southern border date back almost year
politics war economy health etc ,0,jody conradt,poltifact,university texas student athlete get ipad
politics war economy health etc ,0,texans for america s future pac,poltifact,thanks rick perry bad budgeting texas highway department convert modern pave state road back gravel
politics war economy health etc ,0,mike pence,poltifact,trump administration add 209 000 job include 16 000 new manufacturing job pennsylvania last three year
indian news,1,the hindu,the hindu,cyberabad police launch anti drug abuse committee school college hyderabad
politics war economy health etc ,1,jeb bush,poltifact,already prototype driverless car travel 300 000 mile crowd maze california street without single accident
politics war economy health etc ,1,fidelis,poltifact,obama tap porn lawyer justice
economy,1,the wire,the wire,petrol diesel price hike 80 paisa litre fourth increase five day
politics war economy health etc ,1,barack obama,poltifact,chicago school never cancel winter weather
politics war economy health etc ,0,democratic national committee,poltifact,say mitt romney flip flop support president recovery act
climate news,1,bbc,bbc,climate deal save u drown young activist frontline climate change explain deal struck cop26 mean
politics war economy health etc ,0,josh mandel,poltifact,2020 election steal donald trump
politics war economy health etc ,0,future pac  oregon house democrats ,poltifact,say matt wand cut troutdale police create slush fund
politics war economy health etc ,0,national rifle association,poltifact,hillary clinton say gun confiscation would worth consider
politics war economy health etc ,0,news groopspeak com,poltifact,break federal judge grant permission subpoena trump
indian news,1,the hindu,the hindu,cbse class 12 term result announce board communicate first term result class 10 school march 12
politics war economy health etc ,0,charlie crist,poltifact,sign large single tax cut history florida 25 billion tax cut five year direct property tax cut
ukraine russia war,1,bbc,bbc,ukraine alone fight say johnson boris johnson warns vladimir putin us chemical weapon ukraine consequence catastrophic
politics war economy health etc ,0,jack posobiec,poltifact,white house plan call lockdown due delta variant aim late 2nd week august per wh official
politics war economy health etc ,0,oklahoma council of public affairs,poltifact,state government spending time high state track spend fiscal year 17 billion time state history
politics war economy health etc ,0,rebecca bell metereau,poltifact,ken mercer want sean hannity james dobson include social study text
politics war economy health etc ,0,scott walker,poltifact,get information federal government refugee come long likely stay
politics war economy health etc ,0,roy blunt,poltifact,current law report harassment one go 20 hour counsel decide whether really harass
indian news,1,the hindu,the hindu,budget allocation support kila goal fair allocation institute complete pending project
politics war economy health etc ,0,scott jones,poltifact,paid protester involve stephon clark demonstration
politics war economy health etc ,1,chris taylor,poltifact,get access gun america easy adopt dog register vote
